Study,Author,Year,Journal,Study on NIS?,MeanControl,upperSEControl,SEControl,SDControl,MeanTreatment,upperSETreatment,SETreatment,SDTreatment,ReplicatesControl,ReplicatesTreatment,Parameter,Group,TaxonomicGroup,Species,Classification STUDY,Classification AUS,Sizeoftilestandardisedperm2,Sizeofassessedareatandardisedperm2,Reporteddensityperm2,Typeofmanipulation(Tile/Survey),Control,Treatment,Depth,Depthmeter,End (Y/N),Experiment,Location,Duration,Durationdays,Durationweeks,Durationmonths,Field/Lab,Year (start),Month (start),Latitude,Longtitude,Country,Feature,SubstrateMaterial,Orientation,Movement,DepthHeldConstant,Shaded/Unshaded,Shading held constant,Source of data,ControlSubstrate,TreatmentSubstrate,Orientation_Detail,Notes_1,Notes_2
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Arachnopusia unicornis,N,N,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Polychaetes,Salmacina australis,N,N,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Polychaetes,Salmacina australis,N,N,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,4.012345679,,,2.808472387,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Fenestrulina mutabilis,N,N,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,8.950617284,,,10.34940562,0.308641975,,,0.516456806,6,6,PercentageCover,Invertebrates,Bryozoans,Fenestrulina mutabilis,N,N,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Beania magellanica,N,N,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Beania magellanica,N,N,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Virididentula dentata,N,N,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,Bugula dentata in dataset
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Virididentula dentata,N,N,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0.205761317,,,0.504010235,6,6,PercentageCover,Invertebrates,Barnacles,Tetraclitella purpurascens,N,N,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Barnacles,Tetraclitella purpurascens,N,N,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,1.851851852,,,1.512030705,6.275720164,,,5.200105907,6,6,PercentageCover,Invertebrates,Ascidians,Didemnum,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.514403292,,,0.606908691,1.543209877,,,1.394023431,6,6,PercentageCover,Invertebrates,Ascidians,Didemnum,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.925925926,,,1.219038127,6.378600823,,,8.942454059,6,6,PercentageCover,Invertebrates,Ascidians,Diplosoma listerianum,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp3,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.617283951,,,0.956292184,5.041152264,,,7.213687758,6,6,PercentageCover,Invertebrates,Ascidians,Diplosoma listerianum,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp4,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.925925926,,,1.981087227,3.189300412,,,2.419774082,6,6,PercentageCover,Invertebrates,Ascidians,Herdmania momus,N,N,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp3,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.102880659,,,0.252005118,0.617283951,,,1.512030706,6,6,PercentageCover,Invertebrates,Ascidians,Herdmania momus,N,N,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp4,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,10.59670782,,,7.462926371,12.75720165,,,10.80276307,6,6,PercentageCover,Invertebrates,Ascidians,Botrylloides leachii,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp3,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,1.131687243,,,1.430004144,4.835390946,,,5.330369927,6,6,PercentageCover,Invertebrates,Ascidians,Botrylloides leachii,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp4,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.411522634,,,0.637528123,0.925925926,,,1.219038127,6,6,PercentageCover,Invertebrates,Barnacles,Megabalanus coccopoma,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp3,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,M. rosa in dataset
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,1.234567901,,,2.173681094,1.028806584,,,1.686740867,6,6,PercentageCover,Invertebrates,Barnacles,Megabalanus coccopoma,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp4,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,M. rosa in dataset
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,24.69135803,,,12.58411722,32.51028807,,,9.488252041,6,6,PercentageCover,Invertebrates,Barnacles,Amphibalanus variegatus,N,N,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp3,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,Austrobalanus in dataset
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,29.93827161,,,21.86178891,40.43209877,,,17.15893944,6,6,PercentageCover,Invertebrates,Barnacles,Amphibalanus variegatus,N,N,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp4,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,2.057613169,,,2.806210226,0.514403292,,,0.82046922,6,6,PercentageCover,Invertebrates,Barnacles,Balanus trigonus,N,N,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp3,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,2.366255144,,,2.542630483,0.823045267,,,1.00802047,6,6,PercentageCover,Invertebrates,Barnacles,Balanus trigonus,N,N,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp4,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,2.057613169,,,2.778920661,0.102880659,,,0.252005118,6,6,PercentageCover,Invertebrates,Bryozoans,Microporella coronata,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp3,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,M. sp. in raw data
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.823045268,,,1.495135977,1.234567901,,,3.024061411,6,6,PercentageCover,Invertebrates,Bryozoans,Microporella coronata,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp4,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,M. sp. in raw data
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,2.777777778,,,2.199818479,1.543209876,,,0.936157462,6,6,PercentageCover,Invertebrates,Ascidians,Styela plicata,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp3,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,1.851851852,,,1.65634665,0.411522634,,,0.637528123,6,6,PercentageCover,Invertebrates,Ascidians,Styela plicata,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp4,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.514403292,,,0.606908691,1.234567901,,,0.872971335,6,6,PercentageCover,Invertebrates,Bryozoans,Conopeum seurati,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp3,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.514403292,,,0.721632836,0.205761317,,,0.504010235,6,6,PercentageCover,Invertebrates,Bryozoans,Conopeum seurati,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp4,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0.925925926,,,1.734996213,6,6,PercentageCover,Invertebrates,Barnacles,Amphibalanus amphitrite,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp3,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,3.909465021,,,8.120666963,0.925925926,,,1.219038127,6,6,PercentageCover,Invertebrates,Barnacles,Amphibalanus amphitrite,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp4,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,30.4526749,,,8.621374623,13.88888889,,,5.667594532,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp3,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,30.65843622,,,7.586986455,13.27160494,,,6.057565641,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp4,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,2.777777778,,,2.582284033,14.91769547,,,6.687401076,6,6,PercentageCover,Invertebrates,Bryozoans,Bugula neritina,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp3,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,3.909465021,,,4.288531842,0.720164609,,,0.721632836,6,6,PercentageCover,Invertebrates,Bryozoans,Bugula neritina,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp4,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,4.732510288,,,3.065774573,4.320987654,,,3.024061411,6,6,PercentageCover,Invertebrates,Bryozoans,Celleporaria nodulosa,N,N,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp3,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,C. sp. in raw data
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,4.732510288,,,3.818522044,2.674897119,,,4.216852167,6,6,PercentageCover,Invertebrates,Bryozoans,Celleporaria nodulosa,N,N,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp4,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,C. sp. in raw data
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.205761317,,,0.318764062,0.102880659,,,0.252005118,6,6,PercentageCover,Invertebrates,Ascidians,Botryllus schlosseri,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp3,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.102880659,,,0.252005118,0,,,0,6,6,PercentageCover,Invertebrates,Ascidians,Botryllus schlosseri,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp4,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.411522634,,,1.00802047,0,,,0,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides dirampha,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp3,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,H. diramphus in dataset
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides dirampha,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp4,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.205761317,,,0.318764062,0.205761317,,,0.318764062,6,6,PercentageCover,Invertebrates,Bryozoans,Watersipora subtorquata,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp3,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Watersipora subtorquata,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp4,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Watersipora arcuata,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp3,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Watersipora arcuata,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp4,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,1.234567901,,,1.561618598,0.617283951,,,1.234567901,6,6,PercentageCover,Invertebrates,Bryozoans,Bugula flabellata,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp3,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,1.131687243,,,1.063210756,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Bugula flabellata,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp4,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.205761317,,,0.318764062,0.617283951,,,0.956292184,6,6,PercentageCover,Invertebrates,Bryozoans,Schizoporella errata,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp3,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Schizoporella errata,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp4,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,Bowerbankia gracilis in dataset
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Amathia gracilis,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp3,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.205761317,,,0.504010235,0.205761317,,,0.318764062,6,6,PercentageCover,Invertebrates,Bryozoans,Amathia gracilis,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp4,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.102880659,,,0.252005118,4.732510288,,,2.695394715,6,6,PercentageCover,Invertebrates,Bryozoans,Tricellaria inopinata,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp3,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.205761317,,,0.504010235,0.205761317,,,0.504010235,6,6,PercentageCover,Invertebrates,Bryozoans,Tricellaria inopinata,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp4,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.823045268,,,0.843370433,2.983539095,,,2.388072616,6,6,PercentageCover,Invertebrates,Bivalves,Mytilus galloprovincialis,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp3,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,1.33744856,,,1.889198178,1.131687243,,,1.581821489,6,6,PercentageCover,Invertebrates,Bivalves,Mytilus galloprovincialis,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp4,"Port Kembla, Site 2",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,Botrylloides magnicoecum in dataset
